"Показник","Територіальний розріз","Джерело забруднення","Вид забруднюючої речовини","Категорія джерела забруднення","Періодичність","2021"
"Кількість викидів забруднюючих речовин і парникових газів","Україна","Пересувні джерела","Всього викиди","Загалом","Річна","1546775.5"
"Кількість викидів забруднюючих речовин і парникових газів","Україна","Стаціонарні джерела","Всього викиди","Загалом","Річна","2242020.76"
"Кількість викидів забруднюючих речовин і парникових газів","Автономна Республіка Крим","Пересувні джерела","Всього викиди","Загалом","Річна",""
"Кількість викидів забруднюючих речовин і парникових газів","Автономна Республіка Крим","Стаціонарні джерела","Всього викиди","Загалом","Річна",""
"Кількість викидів забруднюючих речовин і парникових газів","Вінницька","Пересувні джерела","Всього викиди","Загалом","Річна","55155.1"
"Кількість викидів забруднюючих речовин і парникових газів","Вінницька","Стаціонарні джерела","Всього викиди","Загалом","Річна","79.3"
"Кількість викидів забруднюючих речовин і парникових газів","Волинська","Пересувні джерела","Всього викиди","Загалом","Річна","30821.4"
"Кількість викидів забруднюючих речовин і парникових газів","Волинська","Стаціонарні джерела","Всього викиди","Загалом","Річна","5.6"
"Кількість викидів забруднюючих речовин і парникових газів","Дніпропетровська","Пересувні джерела","Всього викиди","Загалом","Річна","133461.2"
"Кількість викидів забруднюючих речовин і парникових газів","Дніпропетровська","Стаціонарні джерела","Всього викиди","Загалом","Річна","537.6"
"Кількість викидів забруднюючих речовин і парникових газів","Донецька","Пересувні джерела","Всього викиди","Загалом","Річна","51334.1"
"Кількість викидів забруднюючих речовин і парникових газів","Донецька","Стаціонарні джерела","Всього викиди","Загалом","Річна","744.1"
"Кількість викидів забруднюючих речовин і парникових газів","Житомирська","Пересувні джерела","Всього викиди","Загалом","Річна","46757.8"
"Кількість викидів забруднюючих речовин і парникових газів","Житомирська","Стаціонарні джерела","Всього викиди","Загалом","Річна","11.9"
"Кількість викидів забруднюючих речовин і парникових газів","Закарпатська","Пересувні джерела","Всього викиди","Загалом","Річна","39761.5"
"Кількість викидів забруднюючих речовин і парникових газів","Закарпатська","Стаціонарні джерела","Всього викиди","Загалом","Річна","2.8"
"Кількість викидів забруднюючих речовин і парникових газів","Запорізька","Пересувні джерела","Всього викиди","Загалом","Річна","69333.9"
"Кількість викидів забруднюючих речовин і парникових газів","Запорізька","Стаціонарні джерела","Всього викиди","Загалом","Річна","148.2"
"Кількість викидів забруднюючих речовин і парникових газів","Івано-Франківська","Пересувні джерела","Всього викиди","Загалом","Річна","37904.3"
"Кількість викидів забруднюючих речовин і парникових газів","Івано-Франківська","Стаціонарні джерела","Всього викиди","Загалом","Річна","172.4"
"Кількість викидів забруднюючих речовин і парникових газів","Київська","Пересувні джерела","Всього викиди","Загалом","Річна","137856"
"Кількість викидів забруднюючих речовин і парникових газів","Київська","Стаціонарні джерела","Всього викиди","Загалом","Річна","59.3"
"Кількість викидів забруднюючих речовин і парникових газів","Кіровоградська","Пересувні джерела","Всього викиди","Загалом","Річна","40634.3"
"Кількість викидів забруднюючих речовин і парникових газів","Кіровоградська","Стаціонарні джерела","Всього викиди","Загалом","Річна","11.1"
"Кількість викидів забруднюючих речовин і парникових газів","Луганська","Пересувні джерела","Всього викиди","Загалом","Річна","16196.4"
"Кількість викидів забруднюючих речовин і парникових газів","Луганська","Стаціонарні джерела","Всього викиди","Загалом","Річна","35.1"
"Кількість викидів забруднюючих речовин і парникових газів","Львівська","Пересувні джерела","Всього викиди","Загалом","Річна","83599.7"
"Кількість викидів забруднюючих речовин і парникових газів","Львівська","Стаціонарні джерела","Всього викиди","Загалом","Річна","75.4"
"Кількість викидів забруднюючих речовин і парникових газів","Миколаївська","Пересувні джерела","Всього викиди","Загалом","Річна","46627.1"
"Кількість викидів забруднюючих речовин і парникових газів","Миколаївська","Стаціонарні джерела","Всього викиди","Загалом","Річна","12.2"
"Кількість викидів забруднюючих речовин і парникових газів","Одеська","Пересувні джерела","Всього викиди","Загалом","Річна","94516.7"
"Кількість викидів забруднюючих речовин і парникових газів","Одеська","Стаціонарні джерела","Всього викиди","Загалом","Річна","35.9"
"Кількість викидів забруднюючих речовин і парникових газів","Полтавська","Пересувні джерела","Всього викиди","Загалом","Річна","77727.8"
"Кількість викидів забруднюючих речовин і парникових газів","Полтавська","Стаціонарні джерела","Всього викиди","Загалом","Річна","52.4"
"Кількість викидів забруднюючих речовин і парникових газів","Рівненська","Пересувні джерела","Всього викиди","Загалом","Річна","32991"
"Кількість викидів забруднюючих речовин і парникових газів","Рівненська","Стаціонарні джерела","Всього викиди","Загалом","Річна","9.4"
"Кількість викидів забруднюючих речовин і парникових газів","Сумська","Пересувні джерела","Всього викиди","Загалом","Річна","40998.1"
"Кількість викидів забруднюючих речовин і парникових газів","Сумська","Стаціонарні джерела","Всього викиди","Загалом","Річна","18.3"
"Кількість викидів забруднюючих речовин і парникових газів","Тернопільська","Пересувні джерела","Всього викиди","Загалом","Річна","31136.6"
"Кількість викидів забруднюючих речовин і парникових газів","Тернопільська","Стаціонарні джерела","Всього викиди","Загалом","Річна","8.3"
"Кількість викидів забруднюючих речовин і парникових газів","Харківська","Пересувні джерела","Всього викиди","Загалом","Річна","100042.9"
"Кількість викидів забруднюючих речовин і парникових газів","Харківська","Стаціонарні джерела","Всього викиди","Загалом","Річна","73.4"
"Кількість викидів забруднюючих речовин і парникових газів","Херсонська","Пересувні джерела","Всього викиди","Загалом","Річна","40730.8"
"Кількість викидів забруднюючих речовин і парникових газів","Херсонська","Стаціонарні джерела","Всього викиди","Загалом","Річна","17.1"
"Кількість викидів забруднюючих речовин і парникових газів","Хмельницька","Пересувні джерела","Всього викиди","Загалом","Річна","42854.7"
"Кількість викидів забруднюючих речовин і парникових газів","Хмельницька","Стаціонарні джерела","Всього викиди","Загалом","Річна","21.1"
"Кількість викидів забруднюючих речовин і парникових газів","Черкаська","Пересувні джерела","Всього викиди","Загалом","Річна","56620.2"
"Кількість викидів забруднюючих речовин і парникових газів","Черкаська","Стаціонарні джерела","Всього викиди","Загалом","Річна","47.6"
"Кількість викидів забруднюючих речовин і парникових газів","Чернівецька","Пересувні джерела","Всього викиди","Загалом","Річна","22079.4"
"Кількість викидів забруднюючих речовин і парникових газів","Чернівецька","Стаціонарні джерела","Всього викиди","Загалом","Річна","1.7"
"Кількість викидів забруднюючих речовин і парникових газів","Чернігівська","Пересувні джерела","Всього викиди","Загалом","Річна","29524.7"
"Кількість викидів забруднюючих речовин і парникових газів","Чернігівська","Стаціонарні джерела","Всього викиди","Загалом","Річна","23"
"Кількість викидів забруднюючих речовин і парникових газів","Київ","Пересувні джерела","Всього викиди","Загалом","Річна","188109.8"
"Кількість викидів забруднюючих речовин і парникових газів","Київ","Стаціонарні джерела","Всього викиди","Загалом","Річна","38.8"
"Кількість викидів забруднюючих речовин і парникових газів","Севастополь","Пересувні джерела","Всього викиди","Загалом","Річна",""
"Кількість викидів забруднюючих речовин і парникових газів","Севастополь","Стаціонарні джерела","Всього викиди","Загалом","Річна",""
